concurso;data_sorteio;data_extracao;numero;time1;gols_time1;time2;gols_time2;resultado
1;18/02/2002;2025-10-04 17:28:47;1;FLAMENGO/RJ;2;S. PAULO/SP;4;S. PAULO/SP
1;18/02/2002;2025-10-04 17:28:47;2;VASCO/RJ;3;AMERICANO/RJ;0;VASCO/RJ
1;18/02/2002;2025-10-04 17:28:47;3;SANTOS/SP;2;SAO  CAETANO/SP;1;SANTOS/SP
1;18/02/2002;2025-10-04 17:28:47;4;P. DESPORTOS/SP;1;CORINTHIANS/SP;4;CORINTHIANS/SP
1;18/02/2002;2025-10-04 17:28:47;5;CRUZEIRO/MG;7;AMERICA/MG;0;CRUZEIRO/MG
1;18/02/2002;2025-10-04 17:28:47;6;JUVENTUDE/RS;1;ATLETICO/MG;2;ATLETICO/MG
1;18/02/2002;2025-10-04 17:28:47;7;CORITIBA/PR;2;FIGUEIRENSE/SC;2;EMPATE
1;18/02/2002;2025-10-04 17:28:47;8;CRICIUMA/SC;2;ATHLETICO/PR;1;CRICIUMA/SC
1;18/02/2002;2025-10-04 17:28:47;9;GREMIO/RS;1;JOINVILLE/SC;1;EMPATE
1;18/02/2002;2025-10-04 17:28:47;10;BAHIA/BA;2;SANTA CRUZ/PE;0;BAHIA/BA
1;18/02/2002;2025-10-04 17:28:47;11;NAUTICO/PE;2;VITORIA/BA;1;NAUTICO/PE
1;18/02/2002;2025-10-04 17:28:47;12;BANGU/RJ;1;PALMEIRAS/SP;3;PALMEIRAS/SP
1;18/02/2002;2025-10-04 17:28:47;13;ETTI  JUNDIAI/SP;3;FLUMINENSE/RJ;0;ETTI  JUNDIAI/SP
1;18/02/2002;2025-10-04 17:28:47;14;PONTE PRETA/SP;2;BOTAFOGO/RJ;0;PONTE PRETA/SP
2;25/02/2002;2025-10-04 17:28:53;1;ATLETICO/MG;1;CRUZEIRO/MG;1;EMPATE
2;25/02/2002;2025-10-04 17:28:53;2;ATHLETICO/PR;2;CORITIBA/PR;0;ATHLETICO/PR
2;25/02/2002;2025-10-04 17:28:53;3;VITORIA/BA;5;SPORT/PE;0;VITORIA/BA
2;25/02/2002;2025-10-04 17:28:53;4;SAO  CAETANO/SP;3;VASCO DA GAMA/RJ;0;SAO  CAETANO/SP
2;25/02/2002;2025-10-04 17:28:53;5;SANTOS/SP;2;FLAMENGO/RJ;0;SANTOS/SP
2;25/02/2002;2025-10-04 17:28:53;6;AMERICA/MG;1;GREMIO/RS;1;EMPATE
2;25/02/2002;2025-10-04 17:28:53;7;INTERNACIONAL/RS;2;TUBARAO/SC;0;INTERNACIONAL/RS
2;25/02/2002;2025-10-04 17:28:53;8;BRASILIENSE/DF;0;GOIAS/GO;1;GOIAS/GO
2;25/02/2002;2025-10-04 17:28:53;9;CORINTHIANS/SP;3;BANGU/RJ;1;CORINTHIANS/SP
2;25/02/2002;2025-10-04 17:28:53;10;PALMEIRAS/SP;4;AMERICA/RJ;3;PALMEIRAS/SP
2;25/02/2002;2025-10-04 17:28:53;11;GUARANI/SP;2;AMERICANO/RJ;0;GUARANI/SP
2;25/02/2002;2025-10-04 17:28:53;12;BOTAFOGO/RJ;5;ETTI  JUNDIAI/SP;1;BOTAFOGO/RJ
2;25/02/2002;2025-10-04 17:28:53;13;FLUMINENSE/RJ;3;P.  DESPORTOS/SP;4;P.  DESPORTOS/SP
2;25/02/2002;2025-10-04 17:28:53;14;SAO PAULO/SP;4;PONTE PRETA/SP;1;SAO PAULO/SP
3;04/03/2002;2025-10-04 17:28:59;1;FLAMENGO/RJ;4;CORINTHIANS/SP;3;FLAMENGO/RJ
3;04/03/2002;2025-10-04 17:28:59;2;SPORT RECIFE/PE;1;SANTA CRUZ/PE;2;SANTA CRUZ/PE
3;04/03/2002;2025-10-04 17:28:59;3;FORTALEZA/CE;1;CEARA/CE;1;EMPATE
3;04/03/2002;2025-10-04 17:28:59;4;PARANA/PR;3;INTERNACIONAL/RS;2;PARANA/PR
3;04/03/2002;2025-10-04 17:28:59;5;PALMEIRAS/SP;3;FLUMINENSE/RJ;2;PALMEIRAS/SP
3;04/03/2002;2025-10-04 17:28:59;6;VASCO DA GAMA/RJ;4;P.  DESPORTOS/SP;1;VASCO DA GAMA/RJ
3;04/03/2002;2025-10-04 17:28:59;7;SAO PAULO/SP;4;AMERICA/RJ;1;SAO PAULO/SP
3;04/03/2002;2025-10-04 17:28:59;8;PONTE PRETA/SP;2;SAO CAETANO/SP;3;SAO CAETANO/SP
3;04/03/2002;2025-10-04 17:28:59;9;BANGU/RJ;1;BOTAFOGO/RJ;1;EMPATE
3;04/03/2002;2025-10-04 17:28:59;10;AMERICANO/RJ;3;SANTOS/SP;2;AMERICANO/RJ
3;04/03/2002;2025-10-04 17:28:59;11;GOIAS/GO;9;SERRA/ES;0;GOIAS/GO
3;04/03/2002;2025-10-04 17:28:59;12;ATHLETICO/PR;1;JOINVILLE/SC;1;EMPATE
3;04/03/2002;2025-10-04 17:28:59;13;CRUZEIRO/MG;2;MALUTROM/PR;0;CRUZEIRO/MG
3;04/03/2002;2025-10-04 17:28:59;14;GREMIO/RS;2;PELOTAS/RS;1;GREMIO/RS
4;11/03/2002;2025-10-04 17:29:05;1;VASCO DA GAMA/RJ;3;FLAMENGO/RJ;1;VASCO DA GAMA/RJ
4;11/03/2002;2025-10-04 17:29:05;2;VITORIA/BA;3;BAHIA/BA;0;VITORIA/BA
4;11/03/2002;2025-10-04 17:29:05;3;FLUMINENSE/RJ;2;BANGU/RJ;1;FLUMINENSE/RJ
4;11/03/2002;2025-10-04 17:29:05;4;GUARANI/SP;1;CORINTHIANS/SP;1;EMPATE
4;11/03/2002;2025-10-04 17:29:05;5;SANTOS/SP;3;BOTAFOGO/RJ;3;EMPATE
4;11/03/2002;2025-10-04 17:29:05;6;P. DESPORTOS/SP;0;SAO PAULO/SP;4;SAO PAULO/SP
4;11/03/2002;2025-10-04 17:29:05;7;AMERICANO/RJ;0;PALMEIRAS/SP;2;PALMEIRAS/SP
4;11/03/2002;2025-10-04 17:29:05;8;SERRA/ES;2;GOIAS/GO;3;GOIAS/GO
4;11/03/2002;2025-10-04 17:29:05;9;FORTALEZA/CE;4;SPORT RECIFE/PE;3;FORTALEZA/CE
4;11/03/2002;2025-10-04 17:29:05;10;ATLETICO/MG;1;MAMORE/MG;0;ATLETICO/MG
4;11/03/2002;2025-10-04 17:29:05;11;PELOTAS/RS;2;PARANA/PR;1;PELOTAS/RS
4;11/03/2002;2025-10-04 17:29:05;12;CRICIUMA/SC;3;GREMIO/RS;4;GREMIO/RS
4;11/03/2002;2025-10-04 17:29:05;13;FIGUEIRENSE/SC;0;CRUZEIRO/MG;1;CRUZEIRO/MG
4;11/03/2002;2025-10-04 17:29:05;14;INTERNACIONAL/RS;3;JUVENTUDE/RS;1;INTERNACIONAL/RS
5;18/03/2002;2025-10-04 17:29:11;1;FLUMINENSE/RJ;1;SANTOS/SP;1;EMPATE
5;18/03/2002;2025-10-04 17:29:11;2;FLAMENGO/RJ;3;AMERICA/RJ;0;FLAMENGO/RJ
5;18/03/2002;2025-10-04 17:29:11;3;GUARANI/SP;1;VASCO DA GAMA/RJ;1;EMPATE
5;18/03/2002;2025-10-04 17:29:11;4;AMERICA/MG;3;ATLETICO/MG;4;ATLETICO/MG
5;18/03/2002;2025-10-04 17:29:11;5;CORINTHIANS/SP;3;PONTE PRETA/SP;1;CORINTHIANS/SP
5;18/03/2002;2025-10-04 17:29:11;6;SAO PAULO/SP;7;BANGU/RJ;0;SAO PAULO/SP
5;18/03/2002;2025-10-04 17:29:11;7;PALMEIRAS/SP;3;P.  DESPORTOS/SP;3;EMPATE
5;18/03/2002;2025-10-04 17:29:11;8;BOTAFOGO/RJ;2;SAO CAETANO/SP;1;BOTAFOGO/RJ
5;18/03/2002;2025-10-04 17:29:11;9;SPORT RECIFE/PE;2;CRB/AL;2;EMPATE
5;18/03/2002;2025-10-04 17:29:11;10;GAMA/DF;0;VILA NOVA/GO;0;EMPATE
5;18/03/2002;2025-10-04 17:29:11;11;CRUZEIRO/MG;1;CRICIUMA/SC;2;CRICIUMA/SC
5;18/03/2002;2025-10-04 17:29:11;12;JOINVILLE/SC;1;INTERNACIONAL/RS;0;JOINVILLE/SC
5;18/03/2002;2025-10-04 17:29:11;13;PARANA/PR;0;MALUTROM/PR;2;MALUTROM/PR
5;18/03/2002;2025-10-04 17:29:11;14;GREMIO/RS;3;FIGUEIRENSE/SC;4;FIGUEIRENSE/SC
6;25/03/2002;2025-10-04 17:29:16;1;VASCO DA GAMA/RJ;1;FLUMINENSE/RJ;3;FLUMINENSE/RJ
6;25/03/2002;2025-10-04 17:29:16;2;CORINTHIANS/SP;3;BOTAFOGO/RJ;1;CORINTHIANS/SP
6;25/03/2002;2025-10-04 17:29:16;3;GOIAS/GO;1;VILA NOVA/GO;1;EMPATE
6;25/03/2002;2025-10-04 17:29:16;4;PONTE PRETA/SP;3;FLAMENGO/RJ;3;EMPATE
6;25/03/2002;2025-10-04 17:29:16;5;CRUZEIRO/MG;2;GREMIO/RS;0;CRUZEIRO/MG
6;25/03/2002;2025-10-04 17:29:16;6;INTERNACIONAL/RS;2;ATHLETICO/PR;3;ATHLETICO/PR
6;25/03/2002;2025-10-04 17:29:16;7;CORITIBA/PR;1;ATLETICO/MG;3;ATLETICO/MG
6;25/03/2002;2025-10-04 17:29:16;8;BRASILIENSE/DF;0;GAMA/DF;1;GAMA/DF
6;25/03/2002;2025-10-04 17:29:16;9;VITORIA/BA;3;CRB/AL;2;VITORIA/BA
6;25/03/2002;2025-10-04 17:29:16;10;FORTALEZA/CE;2;NAUTICO/PE;2;EMPATE
6;25/03/2002;2025-10-04 17:29:16;11;AMERICA/RJ;2;BANGU/RJ;2;EMPATE
6;25/03/2002;2025-10-04 17:29:16;12;AMERICANO/RJ;1;P.  DESPORTOS/SP;2;P.  DESPORTOS/SP
6;25/03/2002;2025-10-04 17:29:16;13;SANTOS/SP;2;GUARANI/SP;0;SANTOS/SP
6;25/03/2002;2025-10-04 17:29:16;14;SAO  CAETANO/SP;1;SAO PAULO/SP;0;SAO  CAETANO/SP
7;01/04/2002;2025-10-04 17:29:22;1;CORINTHIANS/SP;3;SAO PAULO/SP;1;CORINTHIANS/SP
7;01/04/2002;2025-10-04 17:29:22;2;PALMEIRAS/SP;3;GUARANI/SP;2;PALMEIRAS/SP
7;01/04/2002;2025-10-04 17:29:22;3;SANTA CRUZ/PE;1;NAUTICO/PE;1;EMPATE
7;01/04/2002;2025-10-04 17:29:22;4;BOTAFOGO/RJ;0;AMERICA/RJ;1;AMERICA/RJ
7;01/04/2002;2025-10-04 17:29:22;5;VASCO DA GAMA/RJ;1;SANTOS/SP;1;EMPATE
7;01/04/2002;2025-10-04 17:29:22;6;FLAMENGO/RJ;1;SAO  CAETANO/SP;2;SAO  CAETANO/SP
7;01/04/2002;2025-10-04 17:29:22;7;FLUMINENSE/RJ;2;AMERICANO/RJ;0;FLUMINENSE/RJ
7;01/04/2002;2025-10-04 17:29:22;8;BANGU/RJ;1;PONTE PRETA/SP;1;EMPATE
7;01/04/2002;2025-10-04 17:29:22;9;BAHIA/BA;3;FORTALEZA/CE;2;BAHIA/BA
7;01/04/2002;2025-10-04 17:29:22;10;BOTAFOGO/PB;1;CRB/AL;4;CRB/AL
7;01/04/2002;2025-10-04 17:29:22;11;GAMA/DF;4;GOIAS/GO;0;GAMA/DF
7;01/04/2002;2025-10-04 17:29:22;12;PELOTAS/RS;2;CRUZEIRO/MG;3;CRUZEIRO/MG
7;01/04/2002;2025-10-04 17:29:22;13;GREMIO/RS;4;CORITIBA/PR;3;GREMIO/RS
7;01/04/2002;2025-10-04 17:29:22;14;ATLETICO/MG;3;INTERNACIONAL/RS;1;ATLETICO/MG
8;08/04/2002;2025-10-04 17:29:28;1;FLUMINENSE/RJ;2;FLAMENGO/RJ;1;FLUMINENSE/RJ
8;08/04/2002;2025-10-04 17:29:28;2;PALMEIRAS/SP;0;CORINTHIANS/SP;0;EMPATE
8;08/04/2002;2025-10-04 17:29:28;3;VASCO DA GAMA/RJ;5;BANGU/RJ;1;VASCO DA GAMA/RJ
8;08/04/2002;2025-10-04 17:29:28;4;P. DESPORTOS/SP;1;BOTAFOGO/RJ;3;BOTAFOGO/RJ
8;08/04/2002;2025-10-04 17:29:28;5;SANTOS/SP;3;SAO PAULO/SP;2;SANTOS/SP
8;08/04/2002;2025-10-04 17:29:28;6;GUARANI/SP;1;PONTE PRETA/SP;1;EMPATE
8;08/04/2002;2025-10-04 17:29:28;7;VITORIA/BA;3;FLUMINENSE/BA;0;VITORIA/BA
8;08/04/2002;2025-10-04 17:29:28;8;FORTALEZA/CE;1;SANTA CRUZ/PE;0;FORTALEZA/CE
8;08/04/2002;2025-10-04 17:29:28;9;GOIAS/GO;2;PALMAS/TO;1;GOIAS/GO
8;08/04/2002;2025-10-04 17:29:28;10;TUBARAO/SC;2;FIGUEIRENSE/SC;0;TUBARAO/SC
8;08/04/2002;2025-10-04 17:29:28;11;ATLETICO/MG;2;PELOTAS/RS;2;EMPATE
8;08/04/2002;2025-10-04 17:29:28;12;INTER/RS;3;CRICIUMA/SC;1;INTER/RS
8;08/04/2002;2025-10-04 17:29:28;13;ATHLETICO/PR;2;GREMIO/RS;2;EMPATE
8;08/04/2002;2025-10-04 17:29:28;14;PARANA/PR;6;CORITIBA/PR;1;PARANA/PR
9;18/04/2002;2025-10-04 17:29:34;1;PORTUGAL;1;BRASIL;1;EMPATE
9;18/04/2002;2025-10-04 17:29:34;2;ALEMANHA;0;ARGENTINA;1;ARGENTINA
9;18/04/2002;2025-10-04 17:29:34;3;ITALIA;1;URUGUAI;1;EMPATE
9;18/04/2002;2025-10-04 17:29:34;4;BOTAFOGO/RJ;1;GUARANI/SP;2;GUARANI/SP
9;18/04/2002;2025-10-04 17:29:34;5;CORINTHIANS/SP;1;VASCO DA GAMA/RJ;0;CORINTHIANS/SP
9;18/04/2002;2025-10-04 17:29:34;6;PONTE PRETA/SP;2;PALMEIRAS/SP;1;PONTE PRETA/SP
9;18/04/2002;2025-10-04 17:29:34;7;SAO PAULO/SP;5;AMERICANO/RJ;3;SAO PAULO/SP
9;18/04/2002;2025-10-04 17:29:34;8;SAO CAETANO/SP;2;FLUMINENSE/RJ;1;SAO CAETANO/SP
9;18/04/2002;2025-10-04 17:29:34;9;CRUZEIRO/MG;1;TUBARAO/SC;2;TUBARAO/SC
9;18/04/2002;2025-10-04 17:29:34;10;GREMIO/RS;6;MAMORE/MG;1;GREMIO/RS
9;18/04/2002;2025-10-04 17:29:34;11;AMERICA/MG;3;ATHLETICO/PR;4;ATHLETICO/PR
9;18/04/2002;2025-10-04 17:29:34;12;COMERCIAL/MS;2;GOIAS/GO;3;GOIAS/GO
9;18/04/2002;2025-10-04 17:29:34;13;BAHIA/BA;10;CONFIANCA/SE;2;BAHIA/BA
9;18/04/2002;2025-10-04 17:29:34;14;CSA/AL;0;VITORIA/BA;1;VITORIA/BA
10;22/04/2002;2025-10-04 17:29:40;1;MILAN;0;ROMA;0;EMPATE
10;22/04/2002;2025-10-04 17:29:40;2;CHIEVO;2;INTERNAZIONALE;2;EMPATE
10;22/04/2002;2025-10-04 17:29:40;3;PIACENZA;0;JUVENTUS;1;JUVENTUS
10;22/04/2002;2025-10-04 17:29:40;4;CELTA;2;BARCELONA;1;CELTA
10;22/04/2002;2025-10-04 17:29:40;5;VALENCIA;1;DEPORTIVO;0;VALENCIA
10;22/04/2002;2025-10-04 17:29:40;6;REAL MADRID;4;TENERIFE;1;REAL MADRID
10;22/04/2002;2025-10-04 17:29:40;7;BOTAFOGO/SP;1;SANTO ANDRE/SP;1;EMPATE
10;22/04/2002;2025-10-04 17:29:40;8;UNIAO S.JOAO/SP;1;BARBARENSE/SP;2;BARBARENSE/SP
10;22/04/2002;2025-10-04 17:29:40;9;AMERICA/SP;1;MOGI MIRIM/SP;1;EMPATE
10;22/04/2002;2025-10-04 17:29:40;10;IRATY/PR;2;PORTUGUESA/PR;0;IRATY/PR
10;22/04/2002;2025-10-04 17:29:40;11;LONDRINA/PR;0;GREMIO MARINGA/PR;1;GREMIO MARINGA/PR
10;22/04/2002;2025-10-04 17:29:40;12;CFZ-BSB/DF;1;BRASILIA/DF;0;CFZ-BSB/DF
10;22/04/2002;2025-10-04 17:29:40;13;VILA NOVA/MG;2;IPATINGA/MG;3;IPATINGA/MG
10;22/04/2002;2025-10-04 17:29:40;14;ATLETICO/GO;1;ANAPOLINA/GO;2;ANAPOLINA/GO
11;29/04/2002;2025-10-04 17:29:46;1;PALMEIRAS/SP;2;SAO PAULO/SP;2;EMPATE
11;29/04/2002;2025-10-04 17:29:46;2;VITORIA/BA;3;SANTA CRUZ/PE;0;VITORIA/BA
11;29/04/2002;2025-10-04 17:29:46;3;GOIAS/GO;4;VILA NOVA/GO;3;GOIAS/GO
11;29/04/2002;2025-10-04 17:29:46;4;CORINTHIANS/SP;3;SAO  CAETANO/SP;1;CORINTHIANS/SP
11;29/04/2002;2025-10-04 17:29:46;5;CRUZEIRO/MG;1;ATLETICO/MG;1;EMPATE
11;29/04/2002;2025-10-04 17:29:46;6;ATHLETICO/PR;1;GREMIO/RS;1;EMPATE
11;29/04/2002;2025-10-04 17:29:46;7;BAHIA/BA;1;NAUTICO/PE;0;BAHIA/BA
11;29/04/2002;2025-10-04 17:29:46;8;GAMA/DF;2;COMERCIAL/MS;2;EMPATE
11;29/04/2002;2025-10-04 17:29:46;9;VALENCIA;2;ESPANYOL;1;VALENCIA
11;29/04/2002;2025-10-04 17:29:46;10;REAL SOCIEDAD;3;REAL MADRID;0;REAL SOCIEDAD
11;29/04/2002;2025-10-04 17:29:46;11;DEPORTIVO;2;MALAGA;2;EMPATE
11;29/04/2002;2025-10-04 17:29:46;12;VERONA/IT;1;MILAN;2;MILAN
11;29/04/2002;2025-10-04 17:29:46;13;ROMA;5;CHIEVO;0;ROMA
11;29/04/2002;2025-10-04 17:29:46;14;INTERNAZIONALE;3;PIACENZA;1;INTERNAZIONALE
12;06/05/2002;2025-10-04 17:29:51;1;LAZIO;4;INTERNAZIONALE;2;LAZIO
12;06/05/2002;2025-10-04 17:29:51;2;TORINO;0;ROMA;1;ROMA
12;06/05/2002;2025-10-04 17:29:51;3;UDINESE;0;JUVENTUS;2;JUVENTUS
12;06/05/2002;2025-10-04 17:29:51;4;MALAGA;0;VALENCIA;2;VALENCIA
12;06/05/2002;2025-10-04 17:29:51;5;BARCELONA;2;ESPANYOL;0;BARCELONA
12;06/05/2002;2025-10-04 17:29:51;6;BETIS;0;DEPORTIVO;3;DEPORTIVO
12;06/05/2002;2025-10-04 17:29:51;7;JUVENTUS/SP;2;AMERICA/SP;0;JUVENTUS/SP
12;06/05/2002;2025-10-04 17:29:51;8;ITUANO/SP;0;UNIAO SAO JOAO/SP;1;UNIAO SAO JOAO/SP
12;06/05/2002;2025-10-04 17:29:51;9;SANTO ANDRE/SP;1;INTER LIMEIRA/SP;2;INTER LIMEIRA/SP
12;06/05/2002;2025-10-04 17:29:51;10;NOVO HORIZONTE/GO;0;ATLETICO/GO;1;ATLETICO/GO
12;06/05/2002;2025-10-04 17:29:51;11;IPATINGA/MG;2;URT/MG;0;IPATINGA/MG
12;06/05/2002;2025-10-04 17:29:51;12;IRATY/PR;1;U.BANDEIRANTE/PR;0;IRATY/PR
12;06/05/2002;2025-10-04 17:29:51;13;RIO BRANCO/ES;1;SERRA/ES;2;SERRA/ES
12;06/05/2002;2025-10-04 17:29:51;14;REMO/PA;2;PAYSANDU/PA;2;EMPATE
13;13/05/2002;2025-10-04 17:29:58;1;CORINTHIANS/SP;1;SAO PAULO/SP;1;EMPATE
13;13/05/2002;2025-10-04 17:29:58;2;VITORIA/BA;2;BAHIA/BA;2;EMPATE
13;13/05/2002;2025-10-04 17:29:58;3;CRUZEIRO/MG;1;ATHLETICO/PR;0;CRUZEIRO/MG
13;13/05/2002;2025-10-04 17:29:58;4;GOIAS/GO;3;GAMA/DF;0;GOIAS/GO
13;13/05/2002;2025-10-04 17:29:58;5;DEPORTIVO;1;REAL MADRID;0;DEPORTIVO
13;13/05/2002;2025-10-04 17:29:58;6;VALENCIA;2;BETIS;0;VALENCIA
13;13/05/2002;2025-10-04 17:29:58;7;ZARAGOZA;1;BARCELONA;1;EMPATE
13;13/05/2002;2025-10-04 17:29:58;8;CSA/AL;0;CRB/AL;3;CRB/AL
13;13/05/2002;2025-10-04 17:29:58;9;SPORT RECIFE/PE;3;RECIFE/PE;1;SPORT RECIFE/PE
13;13/05/2002;2025-10-04 17:29:58;10;Ferroviario ST/PE;1;SANTA CRUZ/PE;3;SANTA CRUZ/PE
13;13/05/2002;2025-10-04 17:29:58;11;ANAPOLINA/GO;1;SANTA HELENA/GO;0;ANAPOLINA/GO
13;13/05/2002;2025-10-04 17:29:58;12;AMERICA/SP;0;ITUANO/SP;1;ITUANO/SP
13;13/05/2002;2025-10-04 17:29:58;13;UNIAO SAO JOAO/SP;2;MATONENSE/SP;1;UNIAO SAO JOAO/SP
13;13/05/2002;2025-10-04 17:29:58;14;BOTAFOGO/SP;3;MOGI MIRIM/SP;2;BOTAFOGO/SP
14;20/05/2002;2025-10-04 17:30:03;1;SELECAO CATALUNA;1;BRASIL;3;BRASIL
14;20/05/2002;2025-10-04 17:30:03;2;ALEMANHA;6;AUSTRIA;2;ALEMANHA
14;20/05/2002;2025-10-04 17:30:03;3;REP.TCHECA;1;ITALIA;0;REP.TCHECA
14;20/05/2002;2025-10-04 17:30:03;4;POLONIA;1;ESTONIA;0;POLONIA
14;20/05/2002;2025-10-04 17:30:03;5;FRANCA;1;BELGICA;2;BELGICA
14;20/05/2002;2025-10-04 17:30:03;6;CORITIBA/PR;1;ATHLETICO/PR;0;CORITIBA/PR
14;20/05/2002;2025-10-04 17:30:03;7;TUBARAO/SC;0;CRICIUMA/SC;0;EMPATE
14;20/05/2002;2025-10-04 17:30:03;8;JOINVILLE/SC;0;FIGUEIRENSE/SC;3;FIGUEIRENSE/SC
14;20/05/2002;2025-10-04 17:30:03;9;TUNA LUSO/PA;0;PAYSANDU/PA;2;PAYSANDU/PA
14;20/05/2002;2025-10-04 17:30:03;10;CASTANHAL/PA;1;REMO/PA;1;EMPATE
14;20/05/2002;2025-10-04 17:30:03;11;NOVA VENECIA/ES;0;SERRA/ES;1;SERRA/ES
14;20/05/2002;2025-10-04 17:30:03;12;DESPORTIVA/ES;0;ALEGRENSE/ES;2;ALEGRENSE/ES
14;20/05/2002;2025-10-04 17:30:03;13;SANTA CRUZ/PE;2;CENTRAL/PE;0;SANTA CRUZ/PE
14;20/05/2002;2025-10-04 17:30:03;14;SPORT RECIFE/PE;0;NAUTICO/PE;0;EMPATE
15;27/05/2002;2025-10-04 17:30:09;1;MALASIA;0;BRASIL;4;BRASIL
15;27/05/2002;2025-10-04 17:30:09;2;INGLATERRA;2;CAMAROES;2;EMPATE
15;27/05/2002;2025-10-04 17:30:09;3;COREIA DO SUL;2;FRANCA;3;FRANCA
15;27/05/2002;2025-10-04 17:30:09;4;DINAMARCA;2;TUNISIA;1;DINAMARCA
15;27/05/2002;2025-10-04 17:30:09;5;CHINA;0;PORTUGAL;2;PORTUGAL
15;27/05/2002;2025-10-04 17:30:09;6;VITORIA/BA;4;BAHIA/BA;3;VITORIA/BA
15;27/05/2002;2025-10-04 17:30:09;7;CRUZEIRO/MG;1;ATLETICO/MG;0;CRUZEIRO/MG
15;27/05/2002;2025-10-04 17:30:09;8;TUBARAO/SC;1;FIGUEIRENSE/SC;2;FIGUEIRENSE/SC
15;27/05/2002;2025-10-04 17:30:09;9;AVAI/SC;2;JOINVILLE/SC;1;AVAI/SC
15;27/05/2002;2025-10-04 17:30:09;10;SAO GABRIEL/RS;1;INTERNACIONAL/RS;3;INTERNACIONAL/RS
15;27/05/2002;2025-10-04 17:30:09;11;GUARANI V.A./RS;0;GREMIO/RS;1;GREMIO/RS
15;27/05/2002;2025-10-04 17:30:09;12;ASA/AL;0;CSA/AL;1;CSA/AL
15;27/05/2002;2025-10-04 17:30:09;13;PETROLINA/PE;2;SANTA CRUZ/PE;2;EMPATE
15;27/05/2002;2025-10-04 17:30:09;14;DESPORTIVA/ES;0;RIO BRANCO/ES;1;RIO BRANCO/ES
16;06/06/2002;2025-10-04 17:30:15;1;BRASIL;2;TURQUIA;1;BRASIL
16;06/06/2002;2025-10-04 17:30:15;2;ARGENTINA;1;NIGERIA;0;ARGENTINA
16;06/06/2002;2025-10-04 17:30:15;3;INGLATERRA;1;SUECIA;1;EMPATE
16;06/06/2002;2025-10-04 17:30:15;4;URUGUAI;1;DINAMARCA;2;DINAMARCA
16;06/06/2002;2025-10-04 17:30:15;5;IRLANDA;1;CAMAROES;1;EMPATE
16;06/06/2002;2025-10-04 17:30:15;6;ESPANHA;3;ESLOVENIA;1;ESPANHA
16;06/06/2002;2025-10-04 17:30:15;7;PARAGUAI;2;AFRICA DO SUL;2;EMPATE
16;06/06/2002;2025-10-04 17:30:15;8;COREIA DO SUL;2;POLONIA;0;COREIA DO SUL
16;06/06/2002;2025-10-04 17:30:15;9;JAPAO;2;BELGICA;2;EMPATE
16;06/06/2002;2025-10-04 17:30:15;10;ESTADOS UNIDOS;3;PORTUGAL;2;ESTADOS UNIDOS
16;06/06/2002;2025-10-04 17:30:15;11;RUSSIA;2;TUNISIA;0;RUSSIA
16;06/06/2002;2025-10-04 17:30:15;12;CROACIA;0;MEXICO;1;MEXICO
16;06/06/2002;2025-10-04 17:30:15;13;ALEMANHA;8;ARABIA SAUDITA;0;ALEMANHA
16;06/06/2002;2025-10-04 17:30:15;14;CHINA;0;COSTA RICA;2;COSTA RICA
17;11/06/2002;2025-10-04 17:30:21;1;BRASIL;4;CHINA;0;BRASIL
17;11/06/2002;2025-10-04 17:30:21;2;DINAMARCA;1;SENEGAL;1;EMPATE
17;11/06/2002;2025-10-04 17:30:21;3;ITALIA;1;CROACIA;2;CROACIA
17;11/06/2002;2025-10-04 17:30:21;4;JAPAO;1;RUSSIA;0;JAPAO
17;11/06/2002;2025-10-04 17:30:21;5;MEXICO;2;EQUADOR;1;MEXICO
17;11/06/2002;2025-10-04 17:30:21;6;AFRICA DO SUL;1;ESLOVENIA;0;AFRICA DO SUL
17;11/06/2002;2025-10-04 17:30:21;7;PORTUGAL;4;POLONIA;0;PORTUGAL
17;11/06/2002;2025-10-04 17:30:21;8;SUECIA;2;NIGERIA;1;SUECIA
17;11/06/2002;2025-10-04 17:30:21;9;ARGENTINA;0;INGLATERRA;1;INGLATERRA
17;11/06/2002;2025-10-04 17:30:21;10;CAMAROES;1;ARABIA SAUDITA;0;CAMAROES
17;11/06/2002;2025-10-04 17:30:21;11;FRANCA;0;URUGUAI;0;EMPATE
17;11/06/2002;2025-10-04 17:30:21;12;COREIA DO SUL;1;ESTADOS UNIDOS;1;EMPATE
17;11/06/2002;2025-10-04 17:30:21;13;ESPANHA;3;PARAGUAI;1;ESPANHA
17;11/06/2002;2025-10-04 17:30:21;14;COSTA RICA;1;TURQUIA;1;EMPATE
18;14/06/2002;2025-10-04 17:30:27;1;COSTA RICA;2;BRASIL;5;BRASIL
18;14/06/2002;2025-10-04 17:30:27;2;MEXICO;1;ITALIA;1;EMPATE
18;14/06/2002;2025-10-04 17:30:27;3;PORTUGAL;0;COREIA DO SUL;1;COREIA DO SUL
18;14/06/2002;2025-10-04 17:30:27;4;BELGICA;3;RUSSIA;2;BELGICA
18;14/06/2002;2025-10-04 17:30:27;5;DINAMARCA;2;FRANCA;0;DINAMARCA
18;14/06/2002;2025-10-04 17:30:27;6;CAMAROES;0;ALEMANHA;2;ALEMANHA
